feature,value,shap_value,abs_shap
smart_197_raw,860.0,3.4011045732538885,3.4011045732538885
smart_5_raw,177.0,0.61797458427245,0.61797458427245
smart_194_raw_delta_7d,3.0,-0.5092595419703733,0.5092595419703733
smart_9_raw_max_7d,57959.0,-0.45873511220787966,0.45873511220787966
smart_198_raw,337.0,0.4225655332739794,0.4225655332739794
smart_198_raw_mean_7d,337.0,0.3253909176413862,0.3253909176413862
smart_197_raw_mean_7d,860.0,0.322021052141957,0.322021052141957
smart_9_raw_delta_7d,172.0,-0.29381141564103597,0.29381141564103597
smart_1_raw_mean_7d,0.0,-0.29157648903754896,0.29157648903754896
smart_194_raw_mean_7d,36.57142857142857,0.27143714744302405,0.27143714744302405
smart_5_raw_max_7d,177.0,0.23002616992654665,0.23002616992654665
smart_9_raw_delta_1d,32.0,-0.22358112637035704,0.22358112637035704
smart_197_raw_max_7d,860.0,0.19232038271845958,0.19232038271845958
smart_9_raw,57959.0,-0.13977317761909164,0.13977317761909164
smart_7_raw_max_7d,0.0,0.13540764176975226,0.13540764176975226
smart_5_raw_mean_7d,177.0,0.10396694441561442,0.10396694441561442
smart_194_raw_max_7d,39.0,0.10060492732970634,0.10060492732970634
smart_1_raw,0.0,-0.09047968448628488,0.09047968448628488
smart_198_raw_max_7d,337.0,0.08988881287071009,0.08988881287071009
smart_198_raw_delta_7d,0.0,-0.06984269220680787,0.06984269220680787
smart_194_raw_delta_1d,3.0,0.05269636256705919,0.05269636256705919
smart_7_raw_delta_7d,0.0,0.05009325486890035,0.05009325486890035
smart_5_raw_delta_7d,0.0,-0.048798133110358105,0.048798133110358105
smart_9_raw_mean_7d,57882.71428571428,-0.04651407504585871,0.04651407504585871
smart_7_raw_delta_1d,0.0,0.040914865117760345,0.040914865117760345
smart_1_raw_max_7d,0.0,0.040008077681597864,0.040008077681597864
smart_7_raw,0.0,-0.039176344856540764,0.039176344856540764
smart_7_raw_mean_7d,0.0,-0.03858433213976823,0.03858433213976823
smart_197_raw_delta_1d,0.0,-0.03613723290287998,0.03613723290287998
smart_1_raw_delta_1d,0.0,-0.03550160174094417,0.03550160174094417
smart_1_raw_delta_7d,0.0,-0.021942932600641465,0.021942932600641465
smart_197_raw_delta_7d,0.0,-0.015970928572085694,0.015970928572085694
smart_5_raw_delta_1d,0.0,-0.0124940830626887,0.0124940830626887
smart_199_raw,0.0,0.005897466129780227,0.005897466129780227
smart_194_raw,39.0,0.003362831817223858,0.003362831817223858
has_7d_history,1.0,-0.000610330548072765,0.000610330548072765
smart_199_raw_mean_7d,0.0,0.0002878181851060716,0.0002878181851060716
smart_198_raw_delta_1d,0.0,0.0002173247418853215,0.0002173247418853215
smart_199_raw_max_7d,0.0,0.00017531724574101578,0.00017531724574101578
smart_199_raw_delta_1d,0.0,-1.874237924061409e-05,1.874237924061409e-05
smart_199_raw_delta_7d,0.0,0.0,0.0
has_1d_history,1.0,0.0,0.0
